Pattern ID,Pattern,Context,"# of Eq list","# of Frq",complexity,Num of Warnings in Method,NCL
47,lab1: do {,"do {
  ket=cursor;
  if (!(eq_s_b(1,""s""))) {
    cursor=limit - v_2;
    break lab1;
  }
  bra=cursor;
  if (!(eq_s_b(3,""nis""))) {
    cursor=limit - v_2;
    break lab1;
  }
  slice_del();
}
 while (false);
",0,0,0,,
48,lab4: do {,"do {
  ket=cursor;
  if (!(eq_s_b(2,""ig""))) {
    cursor=limit - v_5;
    break lab4;
  }
  bra=cursor;
{
    v_6=limit - cursor;
    lab5:     do {
      if (!(eq_s_b(1,""e""))) {
        break lab5;
      }
      cursor=limit - v_5;
      break lab4;
    }
 while (false);
    cursor=limit - v_6;
  }
  if (!r_R2()) {
    cursor=limit - v_5;
    break lab4;
  }
  slice_del();
}
 while (false);
",0,0,0,,
49,lab5: do {,"do {
  if (!(eq_s_b(1,""e""))) {
    break lab5;
  }
  cursor=limit - v_5;
  break lab4;
}
 while (false);
",0,0,0,,
50,lab6: do {,"do {
  if (!(eq_s_b(1,""e""))) {
    break lab6;
  }
  break lab3;
}
 while (false);
",0,0,0,,
51,lab7: do {,"do {
  ket=cursor;
  lab8:   do {
    v_9=limit - cursor;
    lab9:     do {
      if (!(eq_s_b(2,""er""))) {
        break lab9;
      }
      break lab8;
    }
 while (false);
    cursor=limit - v_9;
    if (!(eq_s_b(2,""en""))) {
      cursor=limit - v_8;
      break lab7;
    }
  }
 while (false);
  bra=cursor;
  if (!r_R1()) {
    cursor=limit - v_8;
    break lab7;
  }
  slice_del();
}
 while (false);
",0,0,0,,
52,lab8: do {,"do {
  v_9=limit - cursor;
  lab9:   do {
    if (!(eq_s_b(2,""er""))) {
      break lab9;
    }
    break lab8;
  }
 while (false);
  cursor=limit - v_9;
  if (!(eq_s_b(2,""en""))) {
    cursor=limit - v_8;
    break lab7;
  }
}
 while (false);
",0,0,0,,
53,lab9: do {,"do {
  if (!(eq_s_b(2,""er""))) {
    break lab9;
  }
  break lab8;
}
 while (false);
",0,0,0,,
54,lab10: do {,"do {
  ket=cursor;
  among_var=find_among_b(a_3,2);
  if (among_var == 0) {
    cursor=limit - v_10;
    break lab10;
  }
  bra=cursor;
  if (!r_R2()) {
    cursor=limit - v_10;
    break lab10;
  }
switch (among_var) {
case 0:
    cursor=limit - v_10;
  break lab10;
case 1:
slice_del();
break;
}
}
 while (false);
",0,0,0,,
55,lab0: do {,"do {
  ket=cursor;
  if (!(eq_s_b(2,""ic""))) {
    cursor=limit - v_1;
    break lab0;
  }
  bra=cursor;
  if (!r_R2()) {
    cursor=limit - v_1;
    break lab0;
  }
  slice_del();
}
 while (false);
",0,0,0,,
56,lab1: do {,"do {
  ket=cursor;
  among_var=find_among_b(a_4,4);
  if (among_var == 0) {
    cursor=limit - v_2;
    break lab1;
  }
  bra=cursor;
  if (!r_R2()) {
    cursor=limit - v_2;
    break lab1;
  }
  slice_del();
switch (among_var) {
case 0:
    cursor=limit - v_2;
  break lab1;
case 1:
ket=cursor;
if (!(eq_s_b(2,""at""))) {
cursor=limit - v_2;
break lab1;
}
bra=cursor;
if (!r_R2()) {
cursor=limit - v_2;
break lab1;
}
slice_del();
break;
}
}
 while (false);
",0,0,0,,
